location,Code,Year,age-standardized-death-rate-cardiovascular-disease
Turkey,TUR,2019,217.45921060837
Greenland,GRL,2019,218.624337357818
Saint Lucia,LCA,2019,221.475354154988
G20,,2019,222.187715666633
South Africa,ZAF,2019,222.65017019039
Venezuela,VEN,2019,222.693978399312
Mauritania,MRT,2019,223.985819512642
Ethiopia,ETH,2019,225.385389498813
Trinidad and Tobago,TTO,2019,227.297998349251
Antigua and Barbuda,ATG,2019,227.349039915252
Western Pacific Region,,2019,227.681195080348
Tonga,TON,2019,231.222333100852
South Sudan,SSD,2019,231.546556459702
Czechia,CZE,2019,232.226081052786
Europe,,2019,233.507369397084
East Asia & Pacific - WB,,2019,235.485974748274
Poland,POL,2019,235.587738957279
Nigeria,NGA,2019,235.652016892542
Nicaragua,NIC,2019,236.737503029415
World Bank Regions,,2019,239.743325473324
Kenya,KEN,2019,239.753876674503
World Bank Income Levels,,2019,239.842313771616
World,OWID_WRL,2019,239.848622819659
Four World Regions,,2019,239.980655595523
WHO region,,2019,240.273149811406
Bahrain,BHR,2019,240.892956605654
European Region,,2019,241.767144728206
Caribbean,,2019,241.82971361593
Europe & Central Asia - WB,,2019,242.441205738238
Southern sub-Saharan Africa,,2019,243.873824050917
Commonwealth,,2019,244.82503309119
Nepal,NPL,2019,245.38221576961
Uganda,UGA,2019,246.440258786359
Bhutan,BTN,2019,246.555280402541
Bahamas,BHS,2019,247.092745408196
Cook Islands,COK,2019,248.246157561084
Jordan,JOR,2019,248.887541568516
Seychelles,SYC,2019,249.938346703788
Suriname,SUR,2019,252.267292975087
Asia,,2019,253.142445903446
Guam,GUM,2019,254.792356102311
Senegal,SEN,2019,255.105397944729
Malaysia,MYS,2019,255.544543168832
India,IND,2019,256.367112563395
Rwanda,RWA,2019,256.676383652048
Liberia,LBR,2019,256.985648626735
Malawi,MWI,2019,258.91055643564
Cape Verde,CPV,2019,259.200418189244
Western sub-Saharan Africa,,2019,260.873029167704
Equatorial Guinea,GNQ,2019,261.181606791831
Commonwealth Middle Income,,2019,262.300769804779
High-middle SDI,,2019,262.744268600883
Croatia,HRV,2019,265.847197108374
South-East Asia Region,,2019,266.720390622958
South Asia,,2019,266.858886345097
World Bank Upper Middle Income,,2019,266.873517063273
Brunei,BRN,2019,266.998613072342
Dominica,DMA,2019,267.11120163853
Tanzania,TZA,2019,267.150205855461
South Asia - WB,,2019,268.48543838051
Comoros,COM,2019,268.954028861956
Sub-Saharan Africa,,2019,269.082541621307
Cote d'Ivoire,CIV,2019,269.721315892618
Estonia,EST,2019,270.559976589446
Grenada,GRD,2019,270.641608706883
Eastern sub-Saharan Africa,,2019,270.685318476398
East Asia,,2019,273.22074692297
Cameroon,CMR,2019,274.416476537302
Mali,MLI,2019,276.184857849466
Niger,NER,2019,276.34416297598
African Region,,2019,276.605104486246
Commonwealth Low Income,,2019,276.673709635503
China,CHN,2019,276.937496373103
Sub-Saharan Africa - WB,,2019,277.159903509759
Iran,IRN,2019,277.733589445343
"Southeast Asia, East Asia, and Oceania",,2019,277.800153357435
Benin,BEN,2019,278.848457970828
Northern Mariana Islands,MNP,2019,278.964350213108
Middle SDI,,2019,281.762273576248
Libya,LBY,2019,282.076933875001
Bangladesh,BGD,2019,283.871230101531
Low SDI,,2019,284.078914515981
Djibouti,DJI,2019,284.359977712071
Low-middle SDI,,2019,284.432939132016
Chad,TCD,2019,288.138140915007
Burkina Faso,BFA,2019,289.190884382569
Southeast Asia,,2019,289.926649802233
Sierra Leone,SLE,2019,291.289418641737
Saint Vincent and the Grenadines,VCT,2019,292.193876586002
Togo,TGO,2019,292.452146090595
American Samoa,ASM,2019,295.395434076659
Guinea,GIN,2019,295.63538677999
Burundi,BDI,2019,296.898009464879
United States Virgin Islands,VIR,2019,297.257408825067
Honduras,HND,2019,297.717200663306
Saint Kitts and Nevis,KNA,2019,298.87084447174
Slovakia,SVK,2019,298.900761044318
Gabon,GAB,2019,301.313430837073
Hungary,HUN,2019,301.616214600513
Vietnam,VNM,2019,303.904664159704
World Bank Low Income,,2019,304.203250101756
Angola,AGO,2019,304.733414347535
Philippines,PHL,2019,307.3220607674
Central Europe,,2019,310.382997198828
Ghana,GHA,2019,310.606547995567
Dominican Republic,DOM,2019,311.14920003173
Cambodia,KHM,2019,312.822854779833
World Bank Lower Middle Income,,2019,313.494546838126
Albania,ALB,2019,314.035043438923
Namibia,NAM,2019,316.069515946869
Tunisia,TUN,2019,317.876613035831
Africa,,2019,317.877588647234
African Union,,2019,317.877588647234
Gambia,GMB,2019,318.473843853368
Sao Tome and Principe,STP,2019,319.748939673723
Democratic Republic of Congo,COD,2019,319.874996733492
Zimbabwe,ZWE,2019,321.022799557069
Central sub-Saharan Africa,,2019,321.496069420185
Lebanon,LBN,2019,322.296355511673
United Arab Emirates,ARE,2019,325.877320362164
Eritrea,ERI,2019,327.666856916847
Lithuania,LTU,2019,328.83277745506
Saudi Arabia,SAU,2019,332.087873561553
Botswana,BWA,2019,334.764847478183
Qatar,QAT,2019,337.297639406577
Zambia,ZMB,2019,339.554364188836
Eswatini,SWZ,2019,339.826714364084
Bosnia and Herzegovina,BIH,2019,343.546750510542
Armenia,ARM,2019,345.494964374405
Somalia,SOM,2019,349.411709429696
Mozambique,MOZ,2019,350.773352462286
Tokelau,TKL,2019,352.036461116002
Myanmar,MMR,2019,352.724402944639
