location,Code,Year,stroke_deaths_per_100k
High SDI,,2019,32.6296116564713
High-income,,2019,32.1488229867138
High-income Asia Pacific,,2019,31.5889800529671
High-income North America,,2019,29.9735844998181
High-middle SDI,,2019,90.858141876135
Honduras,HND,2019,105.471480182086
Hungary,HUN,2019,63.4866506609925
Iceland,ISL,2019,22.1651563674661
India,IND,2019,69.5161229722843
Indonesia,IDN,2019,196.74193579963
Iran,IRN,2019,66.2419021729374
Iraq,IRQ,2019,143.286779870339
Ireland,IRL,2019,30.1206493733226
Israel,ISR,2019,26.0991387233618
Italy,ITA,2019,35.2045567899336
Jamaica,JAM,2019,89.9322516521632
Japan,JPN,2019,29.6718098035431
Jordan,JOR,2019,75.7243444763306
Kazakhstan,KAZ,2019,168.634319531149
Kenya,KEN,2019,103.633431524939
Kiribati,KIR,2019,238.456958280625
Kuwait,KWT,2019,46.512597861881
Kyrgyzstan,KGZ,2019,114.214344887891
Laos,LAO,2019,171.946402485838
Latin America & Caribbean,,2019,49.6858611825171
Latin America and Caribbean,,2019,50.0894681790453
Latvia,LVA,2019,105.884505469774
Lebanon,LBN,2019,35.161836560939
Lesotho,LSO,2019,176.791111815583
Liberia,LBR,2019,94.760691775655
Libya,LBY,2019,69.3976006053209
Lithuania,LTU,2019,74.0563335638323
Low SDI,,2019,100.415369729929
Low-middle SDI,,2019,105.88936178357
Luxembourg,LUX,2019,30.1469122344867
Madagascar,MDG,2019,172.243478025356
Malawi,MWI,2019,109.888470798549
Malaysia,MYS,2019,88.4928897721358
Maldives,MDV,2019,61.6141671709066
Mali,MLI,2019,109.344227660651
Malta,MLT,2019,32.0213353162127
Marshall Islands,MHL,2019,181.991063748018
Mauritania,MRT,2019,79.9706540805958
Mauritius,MUS,2019,65.0465129033352
Mexico,MEX,2019,35.1660930115828
Micronesia (country),FSM,2019,186.444528492021
Middle East & North Africa,,2019,88.1024237707966
Middle SDI,,2019,109.236459365221
Moldova,MDA,2019,96.7418261810686
Monaco,MCO,2019,35.7849665445333
Mongolia,MNG,2019,220.405573259222
Montenegro,MNE,2019,206.557852122196
Morocco,MAR,2019,116.40779506402
Mozambique,MOZ,2019,170.894519919249
Myanmar,MMR,2019,209.895623868713
Namibia,NAM,2019,128.748528249677
Nauru,NRU,2019,208.896515735461
Nepal,NPL,2019,80.4444354100188
Netherlands,NLD,2019,32.9728460104542
New Zealand,NZL,2019,31.9029911749769
Nicaragua,NIC,2019,54.3619636615693
Niger,NER,2019,112.570727362219
Nigeria,NGA,2019,90.7107263242766
Niue,NIU,2019,113.919466367526
Nordic Region,,2019,33.2576270098733
North Africa and Middle East,,2019,87.6925162357599
North America,,2019,29.9697917681906
North Korea,PRK,2019,185.689466536484
North Macedonia,MKD,2019,273.551670958979
Northern Ireland,,2019,39.0134383855114
Northern Mariana Islands,MNP,2019,97.4371196772733
Norway,NOR,2019,28.691215119142
OECD Countries,,2019,34.5330302401411
Oceania,,2019,136.790293609586
