,location,max(norm_mental_health_and_substance_use_deaths),max(norm_prob_of_dying_30_70_from_any_of_cardiovascular_cancer_diabetes_chronic_respiratory),max(norm_hypertension_prevalence_men),max(norm_hypertension_prevalence_women),max(norm_hypertension_prevalence),max(norm_dementia_death_rate_per_100k),max(norm_stroke_deaths_per_100k),max(norm_diabetes_prevalence_per_100_ages_20to79),max(norm_median_age),max(norm_pop_over_65_per_100_2019),max(norm_prevalence_of_obesity_both_sexes),max(norm_prevalence_of_overweight_adults_both_sexes),sum(norm_total_vaccinations_per_hundred),sum(norm_daily_cases_per_100k_biweekly_avg),sum(daily_deaths_per_100k_biweekly_avg)
23,Italy,0.17308240089179194,0.09097076773945206,0.836996336996337,0.7213438735177865,0.8122529644268774,0.34139063666390673,0.05336604815801649,0.17475728155339804,0.9856459822348342,0.8218018767332022,0.4890282131661441,0.8504901960784311,205.40256080885095,43.832609110714984,322.29171426256556
24,Japan,0.7109070864267377,0.05094953670401195,0.8553113553113554,0.7411067193675889,0.8320158102766798,0.3278575069916561,0.0313918524035253,0.233009708737864,1.0,1.0,0.0,0.0,112.59186590975013,12.559961732333152,14.657469630621883
25,Latvia,0.048010276822616285,0.785974130014569,0.8186813186813187,0.7252964426877471,0.8043478260869565,0.3802205029314058,0.33408284797348237,0.17475728155339804,0.7942584407408191,0.726250811201615,0.6050156739811912,0.7916666666666667,111.41325156424811,35.38125039431705,269.8197763208096
26,Lithuania,0.0028905054387148798,0.6667651996451771,0.7967032967032966,0.800395256916996,0.8300395256916996,0.13695740011033603,0.20767213703926715,0.05825242718446598,0.7751195908976468,0.7198906234693255,0.689655172413793,0.821078431372549,149.5717482285667,43.908499876354405,315.47821306180657
27,Luxembourg,1.0,0.12556573990106423,0.8882783882783882,0.733201581027668,0.8458498023715414,0.45279851921355563,0.03327879822748395,0.17475728155339804,0.5933014743252177,0.5097822927211046,0.5736677115987461,0.7916666666666667,156.20585919695023,43.43747033830459,155.23107105838426
28,Malta,0.25686641549820477,0.16844920203913785,0.793040293040293,0.7154150197628459,0.7855731225296443,0.34959834887904956,0.04072337138904378,0.49514563106796117,0.7224881126805635,0.7434160459977366,0.7711598746081504,0.9950980392156862,208.4380930675838,31.903691245334663,102.45799540509869
29,Mexico,0.04350951563421574,0.4398691864023448,0.5366300366300366,0.5632411067193676,0.5711462450592885,0.3048488974954709,0.053213283067363185,1.0,0.09569377074700758,0.2648613510626794,0.7711598746081504,0.8504901960784311,79.78005221066589,15.062794652917916,228.41651905781168
30,Moldova,0.3172603189019183,0.9098558675216725,0.793040293040293,0.8339920948616601,0.8448616600790514,0.0,0.2977712246686886,0.24271844660194172,0.49282287150020365,0.42900856961698713,0.45768025078369895,0.6053921568627451,33.32034972858741,24.057578747450762,245.68684339684768
31,Montenegro,0.0411378723984179,0.7819927899903689,0.7948717948717948,0.8280632411067194,0.842885375494071,0.5167160874935002,0.7339232585401863,0.5631067961165048,0.5645931995604594,0.5495730657485415,0.5956112852664577,0.8063725490196078,73.93438445282393,56.071862195799916,397.2152397996796
32,Netherlands,0.7164692503982303,0.15987344719404992,0.0,0.0,0.0,0.4437463014915415,0.044502449360472054,0.21359223300970875,0.760765573132481,0.7001387480160899,0.5047021943573666,0.8137254901960784,167.09725864406178,47.03573367890903,135.32422953520864
